transaction_id,user_id,transaction_date,amount,currency,merchant_name,merchant_category,is_fraud
1001,501,2023-01-01 08:45:23,125.50,USD,Amazon,Retail,0
1002,502,2023-01-01 10:15:42,45.99,EUR,Carrefour,Grocery,0
1003,503,2023-01-01 12:30:15,5000.00,RUB,Aeroflot,Travel,0
1004,504,2023-01-01 14:20:30,899.99,USD,Best Buy,Electronics,0
1005,505,2023-01-01 16:45:12,75.25,GBP,Tesco,Grocery,0
1006,503,2023-01-02 09:10:45,12500.00,RUB,Gazprom,Utilities,0
1007,506,2023-01-02 11:25:33,399.95,USD,Nike,Clothing,1
1008,507,2023-01-02 13:40:21,85.00,EUR,MediaMarkt,Electronics,0
1009,508,2023-01-02 15:55:18,4200.50,RUB,Perekrestok,Grocery,0
1010,509,2023-01-02 18:05:39,199.99,USD,Apple Store,Electronics,0
1011,510,2023-01-03 07:30:12,3500.75,RUB,Sberbank,Financial,0
1012,511,2023-01-03 09:45:30,150.00,EUR,Zara,Clothing,0
1013,512,2023-01-03 12:15:25,299.99,USD,GameStop,Entertainment,1
1014,513,2023-01-03 14:35:48,8500.00,RUB,MTS,Telecommunications,0
1015,514,2023-01-03 16:55:10,89.99,USD,Spotify,Entertainment,0
1016,515,2023-01-04 08:20:33,120.50,EUR,Auchan,Grocery,0
1017,516,2023-01-04 10:40:22,15000.00,RUB,Megafon,Telecommunications,0
1018,517,2023-01-04 13:10:45,499.99,USD,Walmart,Retail,0
1019,518,2023-01-04 15:25:15,65.75,GBP,Sainsbury's,Grocery,1
1020,519,2023-01-04 17:50:36,225.00,EUR,IKEA,Furniture,0
1021,520,2023-01-05 09:15:27,3450.25,RUB,Wildberries,Retail,0
1022,521,2023-01-05 11:30:42,199.99,USD,Target,Retail,0
1023,522,2023-01-05 13:45:18,79.50,EUR,Decathlon,Sports,0
1024,523,2023-01-05 16:00:33,5600.00,RUB,Pyaterochka,Grocery,0
1025,524,2023-01-05 18:20:15,349.99,USD,Microsoft Store,Electronics,1
1026,525,2023-01-06 07:55:28,1200.00,EUR,Lufthansa,Travel,0
1027,526,2023-01-06 10:10:45,7800.50,RUB,M.Video,Electronics,0
1028,527,2023-01-06 12:35:10,129.99,USD,Starbucks,Food,0
1029,528,2023-01-06 14:50:25,95.00,GBP,Boots,Healthcare,0
1030,529,2023-01-06 17:05:38,2700.25,RUB,DNS,Electronics,0
1031,530,2023-01-07 08:40:12,275.50,USD,Home Depot,Home,0
1032,531,2023-01-07 11:00:30,120.99,EUR,Lidl,Grocery,0
1033,532,2023-01-07 13:15:45,6500.00,RUB,Rostelecom,Telecommunications,1
1034,533,2023-01-07 15:35:22,499.99,USD,Sony,Entertainment,0
1035,534,2023-01-07 17:55:38,85.25,GBP,Marks & Spencer,Clothing,0
1036,535,2023-01-08 09:25:15,4200.75,RUB,Magnit,Grocery,0
1037,536,2023-01-08 11:45:33,149.99,USD,Uber,Transportation,0
1038,537,2023-01-08 13:55:20,70.00,EUR,H&M,Clothing,0
1039,538,2023-01-08 16:10:45,3800.50,RUB,Detsky Mir,Children,0
1040,539,2023-01-08 18:30:12,299.99,USD,Adobe,Software,1
1041,540,2023-01-09 08:00:27,110.50,EUR,Adidas,Sports,0
1042,541,2023-01-09 10:20:35,5000.00,RUB,Ozon,Retail,0
1043,542,2023-01-09 12:40:18,89.99,USD,Netflix,Entertainment,0
1044,543,2023-01-09 15:05:30,65.75,GBP,Costa Coffee,Food,0
1045,544,2023-01-09 17:25:42,3200.25,RUB,Svetofor,Grocery,0
1046,545,2023-01-10 09:35:15,199.99,USD,Lowe's,Home,0
1047,546,2023-01-10 11:50:28,95.00,EUR,Sephora,Beauty,1
1048,547,2023-01-10 14:15:32,4500.50,RUB,Eldorado,Electronics,0
1049,548,2023-01-10 16:35:20,129.99,USD,DoorDash,Food,0
1050,549,2023-01-10 18:55:45,75.25,GBP,Superdrug,Healthcare,0

